prompt_id,topic_id
0,14
1,12
2,9
3,24
4,14
5,20
6,19
7,15
8,12
9,8
10,8
11,8
12,10
13,2
14,24
15,3
16,3
17,23
18,20
19,17
20,12
21,7
22,12
23,2
24,6
25,25
26,12
27,9
28,0
29,12
30,6
31,6
32,29
33,10
34,9
35,26
36,9
37,8
38,20
39,29
40,2
41,21
42,11
43,24
44,27
45,12
46,20
47,12
48,27
49,14
50,23
51,24
52,4
53,29
54,20
55,16
56,7
57,24
58,9
59,2
60,6
61,5
62,12
63,12
64,5
65,10
66,28
67,16
68,23
69,13
70,10
71,7
72,8
73,28
74,28
75,12
76,5
77,8
78,10
79,6
80,12
81,22
82,11
83,29
84,10
85,12
86,20
87,27
88,16
89,12
90,3
91,15
92,29
93,12
94,12
95,12
96,3
97,12
98,6
99,23
100,6
101,23
102,25
103,12
104,12
105,14
106,20
107,3
108,12
109,12
110,20
111,12
112,29
113,12
114,21
115,12
116,10
117,12
118,12
119,12
120,12
121,12
122,9
123,12
124,8
125,22
126,12
127,6
128,5
129,2
130,20
131,8
132,12
133,24
134,9
135,22
136,12
137,14
138,12
139,12
140,12
141,12
142,24
143,6
144,8
145,8
146,15
147,23
148,5
149,6
150,12
151,9
152,23
153,12
154,14
155,12
156,9
157,12
158,4
159,24
160,9
161,5
162,12
163,5
164,12
165,12
166,5
167,12
168,12
169,9
170,12
171,29
172,21
173,3
174,6
175,6
176,8
177,6
178,8
179,6
180,12
181,12
182,6
183,12
184,12
185,27
186,12
187,12
188,2
189,20
190,6
191,8
192,12
193,5
194,22
195,12
196,16
197,12
198,6
199,12
200,9
201,20
202,15
203,9
204,12
205,29
206,24
207,12
208,12
209,27
210,12
211,12
212,2
213,7
214,29
215,12
216,5
217,29
218,12
219,12
220,12
221,12
222,8
223,6
224,14
225,6
226,8
227,16
228,20
229,28
230,29
231,3
232,12
233,6
234,12
235,12
236,12
237,7
238,22
239,20
240,12
241,7
242,6
243,16
244,9
245,7
246,6
247,12
248,25
249,29
250,7
251,9
252,12
253,5
254,6
255,12
256,12
257,12
258,12
259,2
260,6
261,12
262,15
263,12
264,12
265,8
266,27
267,12
268,14
269,12
270,12
271,5
272,6
273,12
274,12
275,6
276,12
277,12
278,12
279,9
280,9
281,12
282,12
283,23
284,12
285,2
286,9
287,12
288,22
289,22
290,12
291,6
292,9
293,5
294,10
295,6
296,12
297,5
298,12
299,10
300,16
301,8
302,2
303,6
304,8
305,11
306,12
307,12
308,12
309,14
310,14
311,9
312,7
313,8
314,8
315,12
316,25
317,10
318,12
319,12
320,9
321,9
322,8
323,12
324,5
325,23
326,8
327,5
328,12
329,14
330,6
331,7
332,5
333,12
334,20
335,12
336,3
337,12
338,6
339,2
340,7
341,11
342,9
343,12
344,12
345,21
346,12
347,15
348,9
349,22
350,12
351,6
352,8
353,12
354,3
355,12
356,9
357,6
358,3
359,20
360,24
361,27
362,16
363,12
364,9
365,8
366,12
367,12
368,12
369,9
370,12
371,10
372,9
373,29
374,9
375,12
376,6
377,9
378,15
379,12
380,7
381,7
382,27
383,12
384,12
385,2
386,3
387,8
388,6
389,8
390,12
391,5
392,16
393,25
394,13
395,6
396,20
397,20
398,12
399,15
400,27
401,5
402,17
403,12
404,12
405,15
406,6
407,9
408,5
409,23
410,3
411,15
412,23
413,12
414,11
415,23
416,5
417,12
418,6
419,2
420,5
421,12
422,12
423,16
424,12
425,14
426,7
427,8
428,12
429,12
430,9
431,12
432,23
433,12
434,10
435,12
436,9
437,29
438,9
439,12
440,23
441,11
442,2
443,28
444,12
445,8
446,2
447,8
448,15
449,12
450,12
451,29
452,12
453,12
454,12
455,22
456,6
457,12
458,2
459,12
460,12
461,12
462,12
463,6
464,27
465,6
466,12
467,12
468,23
469,3
470,23
471,20
472,12
473,5
474,16
475,12
476,12
477,6
478,12
479,29
480,7
481,29
482,12
483,12
484,14
485,16
486,12
487,16
488,12
489,12
490,4
491,12
492,12
493,12
494,23
495,17
496,27
497,5
498,12
499,23
500,7
501,29
502,8
503,12
504,10
505,12
506,12
507,5
508,12
509,26
510,3
511,22
512,12
513,12
514,12
515,15
516,12
517,12
518,3
519,25
520,12
521,6
522,12
523,12
524,14
525,12
526,12
527,12
528,12
529,28
530,12
531,27
532,12
533,12
534,12
535,7
536,14
537,6
538,2
539,3
540,12
541,6
542,12
543,12
544,6
545,9
546,29
547,14
548,12
549,25
550,6
551,15
552,12
553,20
554,7
555,3
556,20
557,12
558,12
559,5
560,5
561,12
562,12
563,12
564,24
565,12
566,9
567,12
568,12
569,20
570,6
571,8
572,12
573,6
574,22
575,5
576,5
577,12
578,2
579,27
580,12
581,12
582,6
583,27
584,22
585,16
586,12
587,15
588,8
589,9
590,24
591,12
592,7
593,22
594,3
595,16
596,16
597,12
598,12
599,12
600,8
601,12
602,2
603,9
604,12
605,16
606,12
607,16
608,3
609,12
610,12
611,29
612,12
613,12
614,7
615,16
616,9
617,9
618,20
619,23
620,12
621,20
622,11
623,6
624,12
625,23
626,12
627,6
628,16
629,23
630,29
631,7
632,2
633,9
634,3
635,12
636,22
637,12
638,10
639,2
640,20
641,2
642,6
643,20
644,12
645,12
646,2
647,3
648,8
649,12
650,6
651,12
652,14
653,29
654,27
655,12
656,28
657,12
658,14
659,6
660,4
661,12
662,6
663,13
664,20
665,20
666,16
667,5
668,10
669,22
670,11
671,12
672,12
673,2
674,5
675,25
676,6
677,23
678,6
679,12
680,21
681,12
682,12
683,12
684,12
685,5
686,8
687,5
688,20
689,7
690,14
691,20
692,25
693,12
694,5
695,23
696,5
697,12
698,8
699,9
700,22
701,20
702,23
703,12
704,6
705,12
706,12
707,6
708,7
709,3
710,5
711,12
712,12
713,12
714,22
715,6
716,16
717,12
718,12
719,2
720,12
721,5
722,2
723,23
724,12
725,3
726,12
727,9
728,12
729,6
730,27
731,12
732,6
733,12
734,12
735,29
736,12
737,16
738,12
739,12
740,12
741,6
742,2
743,7
744,6
745,12
746,12
747,29
748,12
749,12
750,12
751,6
752,12
753,3
754,23
755,12
756,12
757,6
758,6
759,12
760,20
761,12
762,12
763,5
764,7
765,6
766,12
767,6
768,12
769,9
770,24
771,23
772,14
773,29
774,8
775,22
776,9
777,12
778,7
779,20
780,6
781,27
782,9
783,6
784,9
785,15
786,24
787,12
788,8
789,12
790,12
791,12
792,29
793,9
794,20
795,12
796,9
797,12
798,7
799,8
800,24
801,9
802,4
803,12
804,12
805,29
806,12
807,12
808,12
809,2
810,4
811,20
812,6
813,12
814,9
815,12
816,6
817,12
818,7
819,12
820,5
821,12
822,12
823,6
824,12
825,8
826,12
827,3
828,2
829,12
830,12
831,12
832,16
833,12
834,12
835,12
836,12
837,16
838,2
839,12
840,12
841,23
842,9
843,12
844,17
845,12
846,12
847,12
848,12
849,22
850,29
851,9
852,12
853,12
854,6
855,12
856,6
857,12
858,6
859,22
860,12
861,12
862,7
863,23
864,6
865,4
866,12
867,12
868,14
869,29
870,7
871,12
872,12
873,12
874,6
875,6
876,12
877,6
878,16
879,10
880,22
881,12
882,22
883,6
884,2
885,12
886,7
887,14
888,12
889,12
890,5
891,12
892,12
893,5
894,6
895,20
896,20
897,20
898,9
899,29
900,7
901,9
902,12
903,6
904,12
905,6
906,12
907,6
908,12
909,12
910,12
911,12
912,29
913,12
914,23
915,29
916,8
917,12
918,12
919,2
920,12
921,12
922,12
923,12
924,20
925,29
926,16
927,23
928,12
929,6
930,6
931,12
932,12
933,12
934,12
935,12
936,16
937,12
938,22
939,10
940,22
941,27
942,12
943,9
944,12
945,7
946,29
947,15
948,22
949,27
950,12
951,20
952,8
953,6
954,22
955,5
956,12
957,12
958,29
959,14
960,12
961,12
962,10
963,12
964,29
965,12
966,8
967,12
968,12
969,12
970,8
971,12
972,29
973,4
974,12
975,6
976,3
977,8
978,12
979,12
980,12
981,23
982,5
983,12
984,23
985,2
986,6
987,29
988,12
989,12
990,6
991,14
992,12
993,23
994,29
995,14
996,23
997,2
998,23
999,10
1000,12
1001,9
1002,14
1003,9
1004,22
1005,2
1006,2
1007,9
1008,12
1009,24
1010,6
1011,12
1012,29
1013,12
1014,15
1015,12
1016,12
1017,8
1018,19
1019,6
1020,20
1021,8
1022,12
1023,3
1024,9
1025,5
1026,12
1027,12
1028,6
1029,12
1030,12
1031,14
1032,16
1033,29
1034,23
1035,8
1036,23
1037,4
1038,20
1039,16
1040,4
1041,5
1042,23
1043,12
1044,6
1045,8
1046,12
1047,20
1048,24
1049,12
1050,12
1051,22
1052,29
1053,6
1054,27
1055,5
1056,27
1057,7
1058,24
1059,2
1060,23
1061,12
1062,6
1063,12
1064,12
1065,2
1066,12
1067,8
1068,4
1069,12
1070,12
1071,12
1072,12
1073,15
1074,22
1075,22
1076,2
1077,12
1078,9
1079,5
1080,22
1081,12
1082,9
1083,5
1084,7
1085,12
1086,29
1087,12
1088,12
1089,8
1090,16
1091,2
1092,29
1093,12
1094,17
1095,2
1096,9
1097,12
1098,10
1099,16
1100,5
1101,29
1102,4
1103,16
1104,2
1105,6
1106,12
1107,12
1108,13
1109,22
1110,6
1111,9
1112,3
1113,12
1114,16
1115,29
1116,12
1117,6
1118,6
1119,12
1120,6
1121,12
1122,12
1123,21
1124,7
1125,12
1126,14
1127,12
1128,9
1129,21
1130,12
1131,20
1132,12
1133,12
1134,12
1135,12
1136,3
1137,9
1138,2
1139,12
1140,29
1141,12
1142,20
1143,6
1144,12
1145,20
1146,20
1147,12
1148,9
1149,12
1150,12
1151,12
1152,29
1153,12
1154,20
1155,9
1156,15
1157,6
1158,12
1159,7
1160,6
1161,12
1162,29
1163,12
1164,12
1165,6
1166,12
1167,23
1168,6
1169,29
1170,22
1171,12
1172,27
1173,12
1174,22
1175,29
1176,12
1177,16
1178,9
1179,3
1180,12
1181,19
1182,22
1183,20
1184,12
1185,20
1186,6
1187,16
1188,12
1189,16
1190,23
1191,3
1192,3
1193,12
1194,2
1195,21
1196,9
1197,12
1198,16
1199,12
1200,12
1201,12
1202,10
1203,20
1204,12
1205,12
1206,29
1207,2
1208,12
1209,6
1210,12
1211,5
1212,12
1213,29
1214,8
1215,15
1216,29
1217,6
1218,5
1219,29
1220,12
1221,6
1222,16
1223,12
1224,12
1225,6
1226,12
1227,9
1228,6
1229,12
1230,12
1231,16
1232,6
1233,3
1234,4
1235,12
1236,12
1237,12
1238,12
1239,7
1240,12
1241,12
1242,13
1243,12
1244,7
1245,9
1246,7
1247,12
1248,16
1249,12
1250,6
1251,5
1252,9
1253,12
1254,23
1255,12
1256,2
1257,11
1258,12
1259,13
1260,12
1261,22
1262,21
1263,12
1264,12
1265,12
1266,10
1267,2
1268,2
1269,22
1270,12
1271,12
1272,5
1273,22
1274,5
1275,2
1276,5
1277,16
1278,12
1279,14
1280,8
1281,12
1282,27
1283,12
1284,6
1285,16
1286,27
1287,12
1288,2
1289,12
1290,12
1291,14
1292,12
1293,29
1294,12
1295,3
1296,2
1297,25
1298,2
1299,5
1300,12
1301,27
1302,14
1303,10
1304,12
1305,12
1306,10
1307,9
1308,12
1309,12
1310,12
1311,16
1312,12
1313,10
1314,9
1315,7
1316,11
1317,12
1318,12
1319,12
1320,3
1321,29
1322,12
1323,12
1324,29
1325,12
1326,5
1327,29
1328,6
1329,9
1330,12
1331,7
1332,6
1333,3
1334,12
1335,22
1336,12
1337,3
1338,7
1339,21
1340,12
1341,29
1342,6
1343,9
1344,6
1345,12
1346,5
1347,6
1348,6
1349,14
1350,29
1351,6
1352,7
1353,12
1354,12
1355,12
1356,8
1357,5
1358,12
1359,12
1360,12
1361,2
1362,9
1363,12
1364,12
1365,6
1366,10
1367,12
1368,29
1369,12
1370,12
1371,6
1372,12
1373,9
1374,10
1375,5
1376,2
1377,9
1378,12
1379,29
1380,12
1381,20
1382,26
1383,12
1384,12
1385,12
1386,14
1387,8
1388,12
1389,12
